@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R248,394,426,362-363,320,343,340,347,427,283,395,250,220,277,464,439,279,386,384,465,368,289,467,278,307,370,434,402,324,418,416,282,448,450,378,410,442,401,433,369,400,315,323,461,235,157,407,432,286,280,86,223,389,463,260,339,1'

@attribute pers_pron29 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_words1 numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute char_freq_disth numeric
@attribute char_freq_distī numeric
@attribute char_freq_distā numeric
@attribute char_freq_distū numeric
@attribute punct_freq_dist_words2 numeric
@attribute char_freq_dist6 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute pers_pron31 numeric
@attribute pers_pron1 numeric
@attribute char_freq_dist0 numeric
@attribute funct_words numeric
@attribute punct_freq_dist_words14 numeric
@attribute char_freq_dist2 numeric
@attribute punct_freq_dist_puncts25 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute det_n numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute char_freq_distC numeric
@attribute comps numeric
@attribute char_freq_dist1 numeric
@attribute char_freq_distU numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_words9 numeric
@attribute punct_freq_dist_chars9 numeric
@attribute char_freq_distl numeric
@attribute punct_freq_dist_chars25 numeric
@attribute punct_freq_dist_chars23 numeric
@attribute char_freq_dist5 numeric
@attribute punct_freq_dist_words23 numeric
@attribute punct_freq_dist_words25 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_chars17 numeric
@attribute punct_freq_dist_words17 numeric
@attribute punct_freq_dist_chars8 numeric
@attribute punct_freq_dist_words8 numeric
@attribute punct_freq_dist_puncts8 numeric
@attribute punct_freq_dist_chars7 numeric
@attribute char_freq_distc numeric
@attribute char_freq_distk numeric
@attribute rad_dict numeric
@attribute pers_pron16 numeric
@attribute av_word_len numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words7 numeric
@attribute char_freq_dist9 numeric
@attribute char_freq_dist3 numeric
@attribute sent_len_dist_chars80 numeric
@attribute pers_pron4 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute jihadlist numeric
@attribute pers_pron41 numeric
@attribute char_freq_distĀ numeric
@attribute class {nor,rad}

@data
0.002237,0,0,0,0.08,0.045701,0,0,0,0.008949,0,0.00181,0.004474,0.10962,0,40.442656,0.049217,0,0,0,9.657948,0,0.002262,0.402414,0,0.001357,0,0,0,0.039367,0,0,0,0,0,0,0,0,0,0,0,0,0.035747,0.002715,0.603622,0.004474,4.944072,0.009955,0,0,0,0,0,0,0,0,0,nor
0.004223,0,0,0,0.186275,0.039147,0,0,0,0.032095,0,0.006384,0,0.08277,0.000168,37.824207,0.047297,0.000168,0,0,8.573487,0,0.001008,0.576369,0.000168,0.000672,0.019608,0.003378,0.000672,0.062164,0,0,0,0,0,0,0,0,0.000672,0.003378,0.019608,0,0.042339,0.013609,1.080692,0,5.027027,0.009409,0,0,0.000168,0.020833,0,0,0,0,0,nor
0.001212,0.000263,0.001212,0.009434,0.056604,0.042391,0,0,0,0.007273,0,0.00158,0.002424,0.070303,0.000527,40.923738,0.055758,0,0,0,7.303974,0,0.002106,0.322234,0,0,0,0,0,0.031596,0,0,0,0,0,0.037736,0.001053,0.004848,0,0,0,0,0.036335,0.010795,0.537057,0.001212,4.603636,0.012112,0,0,0.000263,0.020408,0,0,0,0,0,nor
0.021922,0.006297,0.026981,0.142857,0.205357,0.05549,0,0,0,0.038786,0,0.009052,0.013491,0.141653,0,40.851064,0.059022,0,0,0,6.099291,0,0.000394,0.425532,0,0,0.008929,0.001686,0.000394,0.042503,0,0,0,0,0,0,0,0,0.000394,0.001686,0.008929,0,0.013774,0.011413,0,0,4.284992,0.013774,0,0,0,0,0,0,0,0.001686,0,nor
0,0.001191,0.005181,0.044776,0,0.074662,0,0,0,0,0,0,0.001727,0.079447,0,37.925697,0.063903,0,0,0,5.572755,0,0.000397,0,0,0,0,0,0,0.051628,0,0,0.000397,0,0,0,0,0,0.000397,0.001727,0.014925,0,0.007149,0.008737,0.154799,0,4.348877,0.014694,0,0,0,0,0,0,0,0,0,nor
0,0,0,0,0.098361,0.059331,0,0,0,0.014706,0,0.003236,0,0.147059,0.004854,37.100213,0.061275,0.002157,0,0,7.249467,0,0.003776,0,0,0,0,0,0,0.037756,0,0,0,0,0,0,0,0,0,0,0,0,0.03452,0.003776,1.918977,0,4.544118,0.013484,0,0,0.000539,0,0,0,0,0,0,nor
0.002618,0.000272,0.001309,0.010204,0.027211,0.048343,0,0,0,0.00349,0.000091,0.000724,0.004799,0.116492,0.001177,39.133797,0.067627,0.000634,0,0,9.62877,0.013605,0.001267,0,0.000543,0.000996,0.030612,0.003927,0.000815,0.045175,0,0,0.000453,0,0,0,0,0,0.000815,0.003927,0.030612,0.000362,0.029332,0.005975,0.425367,0,4.819372,0.014032,0.001745,0,0.000091,0,0,0,0,0,0,nor
0.009105,0,0,0,0.271845,0.051683,0,0,0,0.042489,0,0.008269,0.001517,0.121396,0.002363,35.695538,0.036419,0.001181,0,0,7.086614,0.019417,0.000295,0.262467,0.002067,0.001181,0.009709,0.001517,0.000295,0.033963,0,0,0.001181,0,0,0,0,0,0.000295,0.001517,0.009709,0.000591,0.023331,0.005316,0.262467,0,5.138088,0.007088,0.003035,0.000295,0.000591,0,0,0,0,0,0,nor
0.004224,0,0,0,0.147287,0.042799,0,0,0,0.020063,0.000226,0.004303,0.002112,0.081309,0,39.684015,0.046463,0.000226,0,0,8.457249,0,0.002264,0.27881,0,0.000679,0.031008,0.004224,0.000906,0.046875,0,0,0,0,0,0.015504,0.000453,0.002112,0.001585,0.007392,0.054264,0,0.031476,0.00702,0.185874,0.001056,4.663147,0.009964,0,0,0.000226,0.021277,0,0,0,0.001056,0,nor
0.005123,0,0,0,0.173913,0.040808,0,0,0,0.02459,0.000202,0.004848,0,0.099385,0.004646,36.535009,0.036885,0.002222,0.007246,0.007246,10.233393,0.043478,0.004444,0.5386,0.002828,0.00101,0.007246,0.001025,0.000202,0.038586,0.000202,0.000202,0.000404,0.001025,0.001025,0.007246,0.000202,0.001025,0.000202,0.001025,0.007246,0.001212,0.029091,0.013333,0.718133,0,5.071721,0.007273,0.006148,0.001212,0.000404,0.027027,0,0,0,0,0,nor
0.002299,0,0,0,0.266667,0.038021,0,0,0,0.055172,0.001374,0.010994,0.002299,0.114943,0.00229,31.619048,0.08046,0.00229,0.011111,0.011111,9.142857,0,0.003665,0.190476,0.005039,0,0,0,0,0.040311,0.000458,0.000458,0.000458,0.002299,0.002299,0,0,0,0,0,0,0,0.027485,0.004123,0.380952,0,5.018391,0.016033,0,0.00229,0.000916,0,0,0,0,0,0,nor
0,0,0,0,0.360465,0.040072,0,0,0,0.071101,0.00045,0.013958,0,0.103211,0.003602,34.482759,0.034404,0.0009,0.034884,0.034884,8.62069,0.034884,0.004502,0.191571,0.00045,0.0009,0.023256,0.004587,0.0009,0.045025,0.001351,0.001351,0.00045,0.006881,0.006881,0,0,0,0.0009,0.004587,0.023256,0.001351,0.027465,0.004502,0.574713,0,5.094037,0.006754,0.006881,0,0,0,0,0,0,0,0,nor
