@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R250,398,334,366,335,314,399,367,252,220,435,411,436,358,356,432,340,283,438,301,342,406,374,318,390,388,422,420,414,382,350,373,405,341,372,309,317,236,157,379,404,86,223,361,263,1'

@attribute third_sg13 numeric
@attribute punct_freq_dist_words1 numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute char_freq_distH numeric
@attribute punct_freq_dist_words2 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute third_sg15 numeric
@attribute first_sg1 numeric
@attribute funct_words numeric
@attribute punct_freq_dist_words14 numeric
@attribute det_n numeric
@attribute punct_freq_dist_puncts25 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute lower_needs numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute char_freq_distc numeric
@attribute comps numeric
@attribute char_freq_distu numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_words9 numeric
@attribute punct_freq_dist_chars9 numeric
@attribute char_freq_distL numeric
@attribute punct_freq_dist_chars25 numeric
@attribute punct_freq_dist_chars23 numeric
@attribute punct_freq_dist_words25 numeric
@attribute punct_freq_dist_words23 numeric
@attribute punct_freq_dist_words17 numeric
@attribute punct_freq_dist_chars17 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_chars8 numeric
@attribute punct_freq_dist_words8 numeric
@attribute punct_freq_dist_puncts8 numeric
@attribute punct_freq_dist_chars7 numeric
@attribute char_freq_distC numeric
@attribute char_freq_distK numeric
@attribute first_pl9 numeric
@attribute av_word_len numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words7 numeric
@attribute sent_len_dist_chars80 numeric
@attribute first_sg4 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute third_pl8 numeric
@attribute class {nor,rad}

@data
0,0,0,0,0.454545,0.048423,0.056818,0.011261,0.005682,0.113636,32.323232,0.051136,10.10101,0,0,0.000092,0,0.002252,0,0,0,0,0,0.03491,0,0,0,0,0,0,0,0,0,0,0,0.022523,0.015766,0,5.045455,0.010135,0,0,0,0,0,nor
0,0,0,0,0.150943,0.046074,0.025157,0.005191,0,0.103774,35.849057,0.059748,6.756757,0,0,0.000323,0,0.000649,0,0.002596,0.018868,0.003145,0.000649,0.037638,0,0,0,0,0,0,0,0.000649,0.003145,0.018868,0,0.028553,0.00584,0,4.845912,0.01233,0,0,0,0,0,nor
0,0,0,0,0.10084,0.043648,0.016151,0.003118,0.002692,0.095559,34.570766,0.049798,8.826945,0,0,0.000784,0.008403,0.000779,0.348432,0.001559,0.058824,0.009421,0.001819,0.038192,0,0,0,0,0,0,0,0.001819,0.009421,0.058824,0.00026,0.028059,0.014549,0,5.18035,0.009613,0.001346,0,0,0,0,nor
0.004706,0,0,0,0.114286,0.043966,0.018824,0.003742,0,0.110588,32.323232,0.061176,8.704453,0,0,0.000507,0.028571,0,0.404858,0.000935,0.014286,0.002353,0.000468,0.042563,0,0,0,0,0,0,0,0.000468,0.002353,0.014286,0.000935,0.032741,0.005613,0,5.030588,0.012161,0.004706,0.045455,0,0,0,nor
0.006085,0,0,0,0.216216,0.042683,0.032454,0.006504,0.006085,0.105477,38.800705,0.05071,8.289242,0,0,0.000876,0,0.00122,0.176367,0.000407,0,0,0,0.039431,0,0,0,0,0,0,0,0,0,0,0,0.029268,0.008537,0,4.989858,0.010163,0,0,0,0,0,nor
0,0,0,0,0.12766,0.033803,0.017493,0.00338,0,0.093294,36.153846,0.040816,10.25641,0.042553,0.042553,0.000092,0.042553,0.00338,0.25641,0.000563,0.021277,0.002915,0.000563,0.041127,0.001127,0.001127,0.005831,0.005831,0.011662,0.002254,0.085106,0.000563,0.002915,0.021277,0.001127,0.03831,0.004507,0,5.174927,0.007887,0.005831,0.083333,0,0,0,nor
0.00404,0,0,0,0.195122,0.045417,0.032323,0.006547,0.00202,0.10303,32.928943,0.056566,9.705373,0,0,0.000738,0,0.006956,0,0.001227,0.04878,0.008081,0.001637,0.036007,0,0,0,0,0,0,0,0.001637,0.008081,0.04878,0,0.030687,0.006137,0,4.937374,0.011457,0,0,0,0,0,nor
0.009585,0,0,0,0.205128,0.055909,0.025559,0.005083,0.003195,0.134185,35.795455,0.051118,7.954545,0,0,0.000507,0,0.001906,0.284091,0,0,0,0,0.040661,0,0,0,0,0,0,0,0,0,0,0,0.034307,0.005718,0,5.028754,0.010165,0,0,0,0,0,nor
0.001704,0,0,0,0.291892,0.047016,0.045997,0.009003,0.000852,0.094549,35.467255,0.049404,8.830022,0,0,0.002721,0,0.002834,0.294334,0,0,0,0,0.037012,0,0,0,0,0.001704,0.000333,0.010811,0,0,0,0,0.025842,0.005002,0.000852,5.109029,0.00967,0,0.018868,0,0,0,nor
0.0033,0,0,0,0.412698,0.040478,0.085809,0.017253,0,0.089109,31.147541,0.072607,7.945205,0,0,0.000277,0.015873,0.000664,0.273973,0.000664,0,0,0,0.030524,0,0,0,0,0,0,0,0,0,0,0.000664,0.02787,0.005309,0,4.973597,0.014599,0.0033,0,0,0,0,nor
0,0.002268,0.012658,0.000471,0.291139,0.046139,0.052154,0.010829,0.002268,0.090703,36.153846,0.049887,9.230769,0,0,0.00143,0.075949,0.000942,0.192308,0,0.012658,0.002268,0.000471,0.033898,0,0,0,0,0,0,0,0.000471,0.002268,0.012658,0.002825,0.032486,0.008004,0,4.816327,0.010358,0.013605,0,0,0,0,nor
0.005828,0,0,0,0.25,0.044096,0.039627,0.008329,0.003497,0.090909,37.625755,0.050117,7.746479,0,0,0.001891,0,0.001715,0.503018,0,0,0,0,0.037237,0,0,0,0,0,0,0,0,0,0,0,0.025723,0.003185,0.002331,4.757576,0.010534,0,0,0,0,0.001166,nor
0.004808,0,0,0,0.028169,0.046425,0.003205,0.000678,0.001603,0.102564,45.179856,0.048077,8.946609,0,0,0.001706,0,0,0.577201,0.000678,0,0,0,0.041681,0,0,0,0,0.001603,0.000339,0.014085,0,0,0,0,0.023721,0.009149,0,4.729167,0.010166,0,0,0,0,0,nor
0.001188,0,0,0,0.031008,0.040714,0.004751,0.000915,0.002375,0.092637,34.603502,0.068884,9.783728,0.007752,0.007752,0.001983,0.015504,0.003431,0.61792,0.000686,0.007752,0.001188,0.000229,0.052608,0.000229,0.000229,0.001188,0.001188,0,0,0,0.000229,0.001188,0.007752,0.000457,0.026075,0.00366,0,5.192399,0.013266,0.002375,0.017544,0,0,0,nor
0.001332,0,0,0,0.190265,0.051506,0.038171,0.008358,0.000444,0.113626,36.746765,0.055925,8.410522,0,0,0.00369,0.017699,0.001069,1.259726,0.000875,0.006637,0.001332,0.000292,0.036346,0,0,0,0,0,0,0,0.000292,0.001332,0.006637,0.000777,0.032264,0.007483,0.002663,4.567244,0.012245,0.003551,0.007874,0.001775,0,0.001775,nor
0.002107,0.004215,0.02649,0.000889,0.198675,0.050033,0.031612,0.006671,0.001054,0.111697,42,0.041096,9.272727,0,0,0.000969,0,0.000889,1,0.000222,0,0,0,0.040027,0,0,0,0,0.002107,0.000445,0.013245,0,0,0,0,0.02624,0.008228,0,4.738672,0.008672,0,0,0,0,0,nor
0,0,0,0,0.285047,0.062685,0.06531,0.015054,0.002141,0.127409,37.195122,0.067452,6.794425,0.004673,0.004673,0.002444,0.009346,0.000987,0.522648,0.000494,0.018692,0.004283,0.000987,0.036772,0.000247,0.000247,0.001071,0.001071,0.002141,0.000494,0.009346,0.000987,0.004283,0.018692,0.000494,0.017769,0.006417,0,4.33833,0.015548,0.002141,0,0.002141,0,0,nor
