@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R86,236,250,252,263,283,301,314,317-318,334-335,340,342,350,356,361,366-367,379,411,432,435-436,438,1'

@attribute sent_len_dist_chars80 numeric
@attribute first_pl9 numeric
@attribute third_sg13 numeric
@attribute third_sg15 numeric
@attribute third_pl8 numeric
@attribute char_freq_distc numeric
@attribute char_freq_distu numeric
@attribute char_freq_distH numeric
@attribute char_freq_distK numeric
@attribute char_freq_distL numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words14 numeric
@attribute lower_needs numeric
@attribute funct_words numeric
@attribute det_n numeric
@attribute comps numeric
@attribute class {nor,rad}

@data
0,0,0.004808,0.001603,0,0,0.000678,0.046425,0.009149,0.041681,0,0.028169,0,0,0.014085,0,0,0,0.000678,0.010166,0.048077,0.001706,45.179856,8.946609,0.577201,nor
0.017544,0,0.001188,0.002375,0,0.003431,0.000686,0.040714,0.00366,0.052608,0,0.031008,0.015504,0.007752,0,0.007752,0,0,0.000915,0.013266,0.068884,0.001983,34.603502,9.783728,0.61792,nor
0.007874,0.002663,0.001332,0.000444,0.001775,0.001069,0.000875,0.051506,0.007483,0.036346,0,0.190265,0.017699,0.006637,0,0,0,0,0.008358,0.012245,0.055925,0.00369,36.746765,8.410522,1.259726,nor
0,0,0.002107,0.001054,0,0.000889,0.000222,0.050033,0.008228,0.040027,0.02649,0.198675,0,0,0.013245,0,0,0.000889,0.006671,0.008672,0.041096,0.000969,42,9.272727,1,nor
0,0,0,0.002141,0,0.000987,0.000494,0.062685,0.006417,0.036772,0,0.285047,0.009346,0.018692,0.009346,0.004673,0,0,0.015054,0.015548,0.067452,0.002444,37.195122,6.794425,0.522648,nor
0.005525,0,0.004285,0.000857,0,0.001134,0.000966,0.040559,0.004031,0.03867,0.005051,0.090909,0.003367,0.047138,0.015152,0.001684,0,0.000126,0.002267,0.007642,0.038997,0.006687,40.087436,8.51711,0.570342,nor
0.007299,0,0.003107,0.003107,0,0.00239,0,0.05934,0.004362,0.035556,0,0,0.106796,0.004854,0.012136,0,0,0,0,0.007769,0.036723,0.003644,46.027328,10.172065,0.404858,nor
0.032258,0,0.002012,0.002012,0,0.000423,0,0.033841,0.010998,0.045685,0.014286,0.114286,0,0,0,0,0,0.000423,0.003384,0.01269,0.060362,0.000922,41.975309,6.17284,1.058201,nor
0,0,0.002262,0,0,0.001052,0.000526,0.058885,0.011567,0.036803,0,0.191781,0,0,0,0,0,0,0.007361,0.015773,0.067873,0.000738,42.330097,6.601942,0.776699,nor
0,0.004474,0.002237,0.004474,0,0.002262,0.001357,0.045701,0.002715,0.039367,0,0.08,0,0,0,0,0,0,0.00181,0.009955,0.049217,0.001153,40.442656,9.657948,0.402414,nor
0.020833,0,0.004223,0,0,0.001008,0.000672,0.039147,0.013609,0.062164,0,0.186275,0,0.019608,0,0,0,0,0.006384,0.009409,0.047297,0.001799,37.824207,8.573487,0.576369,nor
0.020408,0.001212,0.001212,0.002424,0,0.002106,0,0.042391,0.010795,0.031596,0.009434,0.056604,0,0,0.037736,0,0,0.000263,0.00158,0.012112,0.055758,0.001845,40.923738,7.303974,0.322234,nor
0,0,0.021922,0.013491,0.001686,0.000394,0,0.05549,0.011413,0.042503,0.142857,0.205357,0,0.008929,0,0,0,0.006297,0.009052,0.013774,0.059022,0.001245,40.851064,6.099291,0.425532,nor
0,0,0,0.001727,0,0.000397,0,0.074662,0.008737,0.051628,0.044776,0,0,0,0,0,0,0.001191,0,0.014694,0.063903,0.001845,37.925697,5.572755,0,nor
0,0,0,0,0,0.003776,0,0.059331,0.003776,0.037756,0,0.098361,0,0,0,0,0,0,0.003236,0.013484,0.061275,0.000692,37.100213,7.249467,0,nor
0,0,0.002618,0.004799,0,0.001267,0.000996,0.048343,0.005975,0.045175,0.010204,0.027211,0.013605,0.030612,0,0,0,0.000272,0.000724,0.014032,0.067627,0.004105,39.133797,9.62877,0,nor
0,0,0.009105,0.001517,0,0.000295,0.001181,0.051683,0.005316,0.033963,0,0.271845,0.019417,0.009709,0,0,0,0,0.008269,0.007088,0.036419,0.000969,35.695538,7.086614,0.262467,nor
0.021277,0.001056,0.004224,0.002112,0.001056,0.002264,0.000679,0.042799,0.00702,0.046875,0,0.147287,0,0.031008,0.015504,0,0,0,0.004303,0.009964,0.046463,0.001706,39.684015,8.457249,0.27881,nor
0.027027,0,0.005123,0,0,0.004444,0.00101,0.040808,0.013333,0.038586,0,0.173913,0.043478,0.007246,0.007246,0.007246,0,0,0.004848,0.007273,0.036885,0.001983,36.535009,10.233393,0.5386,nor
0,0,0.002299,0.002299,0,0.003665,0,0.038021,0.004123,0.040311,0,0.266667,0,0,0,0.011111,0,0,0.010994,0.016033,0.08046,0.000738,31.619048,9.142857,0.190476,nor
0,0,0,0,0,0.004502,0.0009,0.040072,0.004502,0.045025,0,0.360465,0.034884,0.023256,0,0.034884,0,0,0.013958,0.006754,0.034404,0.00083,34.482759,8.62069,0.191571,nor
0.041667,0.003384,0.003384,0.001692,0,0.00107,0.000357,0.037817,0.008205,0.031038,0,0,0.190476,0,0,0,0,0,0,0.008562,0.040609,0.000646,40.214067,8.256881,0.764526,nor
0,0,0,0.002431,0,0.001062,0,0.074146,0.003716,0.035923,0,0.075472,0.044025,0.025157,0,0,0,0,0.002124,0.012387,0.056726,0.001476,47.020818,11.270639,0.215363,nor
0,0,0.014134,0.007067,0,0.001536,0.000768,0.069866,0.001536,0.042994,0,0.090909,0,0.050505,0.010101,0,0,0,0.003455,0.010365,0.047703,0.000784,43.759398,9.774436,0.451128,nor
0,0,0.003727,0.003727,0,0.000256,0.000511,0.043712,0.006646,0.042434,0,0.074074,0,0.02963,0.02963,0.007407,0,0,0.002556,0.011503,0.055901,0.001015,41.06383,6.595745,0.531915,nor
0.027027,0,0.004342,0,0,0.002831,0.000315,0.053161,0.005033,0.044354,0,0.219512,0.006098,0.128049,0.006098,0,0.006098,0,0.011324,0.011324,0.052098,0.001015,33.684211,6.549708,0.116959,nor
0,0,0.003123,0.000521,0,0.000576,0.000691,0.073362,0.008638,0.037199,0,0.057851,0.041322,0.03719,0.020661,0,0,0,0.001612,0.008522,0.038522,0.003459,43.227,7.76699,0.369857,nor
